Notice: Tableau 1
Ce tableur comprend les annexes au rapport méthodologique sur les produits alimentaires  AGRIBALYSE. ;;;;
;;;;
www.agribalyse.fr;;;;
;;;;
La base de données est propriétée de l'ADEME, elle est pilotée au sein du GIS Revalim.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Sommaire : ;;Summary :;;
1;Mix de consommation de matières premières – origine des produits;Raw material consumption mix – origin of raw mareial;;
2;Mix de consommation des matière premières pour les aliments les plus emblématiques consommés en France, source de données et années;Consumption mixes of raw materials for the most emblematic foods consumed in France, data source and years;;
3;Parts non comestibles – matière première végétale et oeufs;Inedible parts – vegetable, fruits, nuts and eggs;;
4;Poissons et crustacés : proxy utilisés et parts non comestibles;Fish and shellfish: proxies used and inedible parts;;
5;Poissons et crustacés : jeux de données exclus et  jeux de données ajouté dans AGRIBALYSE 3.0;Fish and shellfish: datasets excluded and datasets added in AGRIBALYSE 3.0;;
6;Densités utilisées;Densities used;;
7;Calcul des volumes d’eau évaporés par le processus de séchage ;Calculation of water volumes evaporated by the drying process ;;
8;Rendements utilisés pour les fromages;Yields used for cheeses;;
9;Recettes utilisées pour les produits CIQUAL : sources;Recipes used for CIQUAL products: sources;;
10;Produits CIQUAL approchés par d'autres recettes / produits CIQUAL;CIQUAL products approached by other CIQUAL recipes / products;;
11;Produits CIQUAL non présents dans Agribalyse;CIQUAL products not present in Agribalyse;;
12;Liste des dummy (données vides);List of dummy (empty data);;

1. Consumption mix: Tableau 1
Mix de consommation de matières premières – origine des produits;;;;;;
;;;;;;
Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins;
2500;Smoothie;Smoothie;Apple compote;Compote de pomme;
4036;Potato, sautéed/pan-fried, with goose fat;Pomme de terre sautée/poêlée à la graisse de canard;Potato, sautéed/pan-fried;Pomme de terre, sautée/poêlée;
4037;"Potato crisps, ""à l'ancienne"" (old-fashioned style)";Chips de pommes de terre, à l'ancienne;Potato crisps;Chips de pommes de terre, standard;
4038;Potato crisps and related, reduced fat;Chips de pommes de terre et assimilés, allégées en matière grasse;Potato crisps;Chips de pommes de terre, standard;
5000;Beer, dark ;Bière brune;Beer, regular (4-5° alcohol);"Bière ""coeur de marché"" (4-5° alcool)";
5002;Beer, strong (>8° alcohol);Bière forte (>8° alcool);Beer, regular (4-5° alcohol);"Bière ""coeur de marché"" (4-5° alcool)";
5008;Beer, low alcohol-content (3° alcohol);Bière faiblement alcoolisée (3° alcool);Beer, regular (4-5° alcohol);"Bière ""coeur de marché"" (4-5° alcool)";
5010;Beer, special (5-6° alcohol);"Bière ""spéciale"" (5-6° alcool)";Beer, regular (4-5° alcohol);"Bière ""coeur de marché"" (4-5° alcool)";
5011;"Beer, ""specialty"", from abbey or regional (varying alcohol content)";"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)";Beer, regular (4-5° alcohol);"Bière ""coeur de marché"" (4-5° alcool)";
5030;Beer, alcohol-free (<1,2° alcohol);Bière sans alcool (<1,2° alcool);Beer, regular (4-5° alcohol);"Bière ""coeur de marché"" (4-5° alcool)";
7004;Toasted bread, home-made;Pain grillé, domestique;Bread, home-made, with flour for home-made bread preparation;pain blanc nature;
7010;Brown bread, French bread (baguette or ball), with flour type 80 or 110;Pain, baguette ou boule, bis (à la farine T80 ou T110);Bread, French bread, baguette;pain blanc nature;
7111;Sandwich loaf, wholemeal;Pain de mie, complet;Sandwich loaf;pain de mie blanc nature (avec croute);
7112;Sandwich loaf, bran grain;Pain de mie, au son;Sandwich loaf;pain de mie blanc nature (avec croute);
7256;English muffin, wholewheat flour, prepacked;Muffin anglais, complet, petit pain spécial, préemballé;Rolls for hamburger/hotdog (buns), wholemeal, prepacked;Pain pour hamburger ou hot dog (bun), complet, préemballé;
7260;Bread, home-made, with flour for home-made bread preparation;Pain blanc maison (avec farine pour machine à pain);Bread, home-made, with flour for home-made bread preparation;Pain, baguette, courante;
7257;English muffin, prepacked;Muffin anglais, petit pain spécial, préemballé;Rolls for hamburger/hotdog (buns), prepacked;Pain pour hamburger ou hot dog (bun), préemballé;
7301;Rusk, w eggs;Biscotte briochée;Rusk;Biscotte classique;
7310;Rusk, unsalted;Biscotte sans adjonction de sel;Rusk;Biscotte classique;
7330;Rusk, multigrain;Biscotte multicéréale;Rusk;Biscotte classique;
7340;Rusk, wholemeal or rich in fibre;Biscotte complète ou riche en fibres;Rusk;Biscotte classique;
7352;Puffed rice textured bread, wholemeal;Galette de riz soufflé complet;Puffed cereals textured bread;Galettes multicéréales soufflées;
7400;Rusk, slice, wheat;Pain grillé, tranches, au froment;Bread, home-made, with flour for home-made bread preparation;pain blanc nature;
7403;Rusk with eggs, sliced, prepacked;Pain grillé brioché, tranché, préemballé;Brioche sandwich bread, prepacked;pain de mie brioche nature;
7407;Wheat swedish toast;Pain grillé suédois au froment;Sandwich loaf, multigrain;pain de mie aux cereales;
7409;Swedish toast, with linseeds;Pain grillé suédois aux graines de lin;Sandwich loaf, multigrain;pain de mie aux cereales;
7412;Biscuit, extruded and grilled, chocolate filling;Tartine craquante, extrudée et grillée, fourrée au chocolat;Crispbread, extruded and grilled;Tartine craquante, extrudée et grillée;
7413;Biscuit, extruded and grilled, fruits filling;Tartine craquante, extrudée et grillée, fourrée aux fruits;Crispbread, extruded and grilled;Tartine craquante, extrudée et grillée;
7420;Wheat swedish toast, wholemeal;Pain grillé suédois au blé complet;Sandwich loaf, multigrain;pain de mie aux cereales;
7421;Swedish toast, with fruits;Pain grillé suédois aux fruits;Sandwich loaf, multigrain;Pain grillé suédois au froment;
7425;Rusk, slice, multigrain;Pain grillé, tranches, multicéréale;Bran grain bread;pain au son;
7432;Croutons, plain, prepacked;Croûtons nature, préemballés;Croutons;Croûtons;
7738;Brioche, filled with fruits;Brioche fourrée aux fruits;Brioche, filled with chocolate;brioche ordinaire au chocolat noir/au lait;
7744;Christmas brioche with candied fruits, prepacked;Couronne de Noël (Brioche) aux fruits confits, préemballée;Brioche, pure butter;brioche ordinaire nature (beurre);
7811;Focaccia, filled;Focaccia, garnie;Pizza, ham and cheese;Pizza jambon fromage;
8080;Rillette, fish;Rillettes de poisson;Rillettes, tuna;Rillettes de thon;
8109;Duck confit (conserved in rendered fat), meat (leg) without skin, reheated;Confit de canard, viande (cuisse), sans peau, réchauffé;Duck confit;Confit de canard;
8120;Preserved pork liver;Confit de foie de porc;Liver, pork, raw;Foie, porc, cru;
8125;Preserved poultry liver;Confit de foie de volaille;Liver, poultry, raw;Foie, volaille, cru;
8292;Seafood terrine, with or without fish;Terrine de fruits de mer, avec ou sans poisson;Fish terrine;Terrine de poisson;
8373;Rolled escalope of pork with pistachios;Roulade de porc pistachée;Pork, ham escalope, raw;Porc, escalope de jambon, crue;
8406;Pork snout in salad dressing sauce;Museau de porc vinaigrette;Brain, pork, raw;Cervelle, porc, crue;
8500;Chitterling sausage;Andouille;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8501;Chitterling sausage from Guéméné;Andouille de Guéméné;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8504;Chitterling sausage, pan-reheated;Andouille, réchauffée à la poêle;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8512;Chitterling sausage from Vire;Andouille de Vire;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8550;Chitterling sausage, raw;Andouillette, crue;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8551;Chitterling sausage, sautéed/pan-fried;Andouillette, sautée/poêlée;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8552;Chitterling sausage from Troyes, raw;Andouillette de Troyes, crue;Toulouse sausage, raw;Saucisse de Toulouse, crue;
8803;White pudding, truffled, raw;Boudin blanc truffé, cru;Toulouse sausage, raw;Saucisse de Toulouse, crue;
10002;Squid fritter, Roman-style;Calmar ou Calamar ou encornet, à la romaine (beignet);Squid, fried or pan-fried with fat;Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;
10083;Mussels, filled (fat, parsley and garlic...);Moules farcies (matière grasse, persillade…), crues;Mussels, in a shallot and white wine broth;Moules marinières (oignons et vin blanc);
11051;Tartare sauce, prepacked;Sauce tartare, préemballée;Sauce, pepper, prepacked;Sauce au poivre, condimentaire, froide, préemballée;
11079;Mayonnaise, reduced fat or light mayonnaise;Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée;Mayonnaise (70% fat and more);Mayonnaise (70% MG min.);
11122;Cream sauce with shallots, prepacked;Sauce à l'échalote à la crème, préemballée;Cream sauce with shallots, prepacked;Sauce à la crème;
11162;Cream sauce with herbs;Sauce à la crème aux herbes;Cream sauce with spices;Sauce à la crème aux épices;
11167;American-style sauce, prepacked;Sauce américaine, préemballée;Armorican-style sauce, prepacked;Sauce armoricaine, préemballée;
11172;Aromatic stock cube, for fish, dehydrated;Court-bouillon pour poissons, déshydraté;Aromatic stock cube, for fish, dehydrated;Soupe aux légumes variés, déshydratée reconstituée;
11177;Tomato sauce, w mushrooms, prepacked;Sauce tomate aux champignons, préemballée;Tomato sauce, w mushrooms, prepacked;Sauce tomate aux oignons, préemballée;
11178;Tomato sauce, w olives, prepacked;Sauce tomate aux olives, préemballée;Tomato sauce, w olives, prepacked;Sauce tomate aux oignons, préemballée;
11187;Salad dressing, prepacked;Sauce crudités ou Sauce salade, préemballée;Mayonnaise (70% fat and more);Mayonnaise (70% MG min.);
11191;Roquefort (blue cheese) sauce, prepacked;Sauce au roquefort, préemballée;White butter sauce, prepacked;Sauce au beurre blanc, préemballée;
7160;Bread, French bread, without salt;Pain, baguette, sans sel;Bread, French bread, baguette;Pain, baguette, courante;
11196;Burger sauce, prepacked;Sauce burger, préemballée;Mayonnaise (70% fat and more);Mayonnaise (70% MG min.);
11198;Salad dressing, reduced fat, prepacked;Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée;Mayonnaise (70% fat and more);Mayonnaise (70% MG min.);
11199;Grand veneur sauce (a reduction of red wine with garlic, shallots and red currant jelly), prepacked;Sauce grand veneur, préemballée;Burgundy-style sauce, prepacked;Sauce bourguignonne, préemballée;
11205;Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked;Sauce rouille, préemballée;Mayonnaise (70% fat and more);Mayonnaise (70% MG min.);
11208;Tomato sauce, w cheese, prepacked;Sauce tomate au fromage, préemballée;Tomato sauce, w cheese, prepacked;Sauce tomate aux oignons, préemballée;
11210;Sauce, pesto rosso, prepacked;Sauce pesto rosso, préemballée;Sauce, pesto, prepacked;Sauce pesto, préemballée;
13152;Fruits dessert, all types (fruits dessert's sugar content is less than fruits compote but more than fruits compote reduced sugar);Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);Soy dessert, w fruits, refrigerated;Dessert au soja, aux fruits, rayon frais;
13157;Baby food jar with banana;Petit pot fruit avec banane pour bébé;Apple compote;Compote de pomme;
13158;Baby food jar without banana;Petit pot fruit sans banane pour bébé;Apple compote;Compote de pomme;
13159;Fruit-based beverage for baby from 4/6 months;Boisson aux fruits pour bébé dès 4/6mois;Mixed fruits juice, pure juice;Jus multifruit, pur jus, standard;
13161;Dairy cereal-based beverage with vegetables for baby's dinner from 4/6 months;Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois;Dairy cereal-based beverages for baby's breakfast;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
13162;Dairy cereal-based beverage with fruits for baby's snack from 4/6 months;Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois;Dairy cereal-based beverages for baby's breakfast;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
13163;Dairy cereal-based beverage for baby's breakfast from 4/6 months;Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois;Dairy cereal-based beverages for baby's breakfast;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
13164;Dairy dessert for baby, custard type;Dessert lacté infantile type crème dessert;Custard dessert, vanilla, canned;creme dessert type danette a la vanille (sucre avec du sucre);
13165;Dairy dessert for baby, with rice or semolina;Dessert lacté infantile au riz ou à la semoule;Custard dessert, vanilla, canned;Dessert lacté infantile type crème dessert;
13166;Dairy dessert for baby, plain with sugar or with fruits;Dessert lacté infantile nature sucré ou aux fruits;Custard dessert, vanilla, canned;Dessert lacté infantile type crème dessert;
13169;Dairy cereal-based beverage for baby's breakfast from 8/9 months;Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois;Dairy cereal-based beverages for baby's breakfast;Chicorée instantanée, sans sucre et édulcorants artificiels, prêt-à-boire (reconstitué avec du lait demi-écrémé standard);
13170;Dairy cereal-based beverage for baby's breakfast from 12 months;Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois;Dairy cereal-based beverages for baby's breakfast;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
13173;Dairy cereal-based beverage for baby's breakfast;Boisson infantile céréales lactées pour le petit déjeuner;Dairy cereal-based beverages for baby's breakfast;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
13709;Fruit cocktail or salad, canned in light syrup, not drained;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;Fruit cocktail or salad, canned in light syrup, not drained;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;
15018;Mix of salted grains/nuts and raisins;Mélange apéritif de graines salées et raisins secs;Mix of unsalted grains/nuts and dried fruit;Mélange apéritif de graines (non salées) et fruits séchés;
15049;Mix of unsalted grains/nuts and raisins;Mélange apéritif de graines (non salées) et raisins secs;Mix of unsalted grains/nuts and dried fruit;Mélange apéritif de graines (non salées) et fruits séchés;
18012;Bottled water, flavoured, w sugar;Boisson à l'eau minérale ou de source, aromatisée, sucrée;Mineral still water (Evian), bottled, lightly mineralized;Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);
18013;Tonic drink, without sugar, with artificial sweetener(s);Tonic ou bitter, non sucré, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18014;Tonic drink, with sugar and artificial sweetener(s);Tonic ou bitter, sucré, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18015;Still soft drink with tea extract, with sugar and artificial sweetener(s);Boisson au thé, aromatisée, sucrée, avec édulcorants;Still soft drink with tea extract, flavoured, with sugar;the glace au citron;
18016;Lemonade, with sugar and artificial sweetener(s);Limonade, sucrée, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18018;Cola, with sugar;Cola, sucré;Lemonade, with sugar;Limonade, sucrée;
18021;Fruit soft drink, still (less than 10% of fruit juice), without sugar and with artificial sweetener(s);Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants;Bottled water, flavoured, w sugar;Boisson à l'eau minérale ou de source, aromatisée, sucrée;
18023;Fruit soft drink, still (less than 10% of fruit juice), with sugar;Boisson plate aux fruits (à moins de 10% de jus), sucrée;Syrup;sirop dilue a l'eau;
18026;Soft drink, carbonated, without fruit juice, with sugar;Boisson gazeuse, sans jus de fruit, sucrée;Lemonade, with sugar;Limonade, sucrée;
18028;Bottled water, flavoured, without sugar and artificial sweeteners;Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant;Mineral still water (Evian), bottled, lightly mineralized;Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);
18030;Bottled water, flavoured, without sugar and with artificial sweeteners;Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants;Mineral still water (Evian), bottled, lightly mineralized;Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);
18033;Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar and artificial sweetener(s);Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants;Fruit soft drink, carbonated (10-50% of fruit juice), with sugar;Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée;
18035;Lemonade, without sugar, with artificial sweetener(s);Limonade, non sucrée, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18037;Cola, with sugar and artificial sweetener(s);Cola, sucré, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18049;Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar;Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée;Fruit soft drink, carbonated (10-50% of fruit juice), with sugar;Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée;
18060;Cola, without sugar and with artificial sweetener(s);Cola, non sucré, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18065;Still soft drink with tea extract, flavoured, without sugar and with artificial sweeteners;Boisson au thé, aromatisée, non sucrée, avec édulcorants;Still soft drink with tea extract, flavoured, with sugar;Boisson au thé, aromatisée, sucrée;
18067;Cola, with sugar and without caffeine;Cola, sucré, sans caféine;Lemonade, with sugar;Limonade, sucrée;
18068;Cola, without sugar, with artificial sweetener(s) and with caffeine;Cola, non sucré, avec édulcorants, sans caféine;Lemonade, with sugar;Limonade, sucrée;
18078;Soft drink, carbonated, without fruit juice, with sugar and artificial sweetener(s);Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants;Lemonade, with sugar;Limonade, sucrée;
18151;Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink;Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire;Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink;Café au lait ou cappuccino au chocolat, poudre soluble;
18162;Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with water);Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau);Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk);chicoree cafe au lait;
18304;Fruit soft drink, still (10-50% of fruit juice), reduced sugar;Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres;Fruit soft drink, still (less than 10% of fruit juice), with sugar;Boisson plate aux fruits (à moins de 10% de jus), sucrée;
18309;Fruit soft drink, still (fruit juice content unspecified), with sugar;Boisson plate aux fruits (teneur en jus non spécifiée), sucrée;Fruit soft drink, still (less than 10% of fruit juice), with sugar;Boisson plate aux fruits (à moins de 10% de jus), sucrée;
18339;Fruit soft drink, still (10-50% of fruit juice), with sugar;Boisson plate aux fruits (10 à 50% de jus), sucrée;Fruit soft drink, still (less than 10% of fruit juice), with sugar;Boisson plate aux fruits (à moins de 10% de jus), sucrée;
18340;Fruit soft drink, carbonated (less than 10% of fruit juice), without sugar and with artificial sweetener(s);Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants;Bottled water, flavoured, without sugar and artificial sweeteners;Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant;
18343;Fruit juice with milk;Boisson au jus de fruit et au lait;Mixed fruits juice, reconstituted from a concentrate, multivitamin;jus multifruits;
18344;Tonic drink, with sugar;Tonic ou bitter, sucré;Lemonade, with sugar;Limonade, sucrée;
18345;Fruit soft drink, carbonated (less than 10% of fruit juice), without sugar and artificial sweetener(s);Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant;Bottled water, flavoured, without sugar and artificial sweeteners;Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant;
18352;Energy drink, with sugar;Boisson énergisante, sucrée;Energy drink, without sugar and with artificial sweetener(s);Boisson énergisante, non sucrée, avec édulcorants;
18903;Soy drink, flavoured, enriched in calcium, w sugar or fruit concentrate;Boisson au soja, aromatisée, sucrée, enrichie en calcium;Soy drink, w concentrated fruit juice;lait de soja;
18904;Rice-based drink, plain;Boisson à base de riz, nature;Almond beverage;Boisson à l'amande;
19122;Chocolate flavoured milk, with sugar, partially skimmed, fortified with vitamins and chemicals elements;Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux;Semi-skimmed milk;Lait demi-écrémé, UHT;
19127;Strawberry flavoured milk, with sugar, partially skimmed, fortified with vitamins D;Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D;Semi-skimmed milk;Lait demi-écrémé, UHT;
19508;Dairy drink or fermented milk or yogurt, flavoured, with sugar;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;Dairy drink or fermented milk or yogurt, with fruits, with sugar;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
19538;Dairy drink or fermented milk or yogurt, plain, with sugar, with L Casei;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;Dairy drink or fermented milk or yogurt, with fruits, with sugar;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;
19673;Custard dessert, reduced fat, refrigerated;Crème dessert, allégée en MG, rayon frais;Custard dessert, vanilla, canned;creme dessert type danette a la vanille (sucre avec du sucre);
19552;Yogurt, Greek-style, on a bed of fruits;Yaourt à la grecque, sur lit de fruits;Yogurt, fermented milk or dairy specialty, w fruits, with sugar;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;
19558;Yogurt, fermented milk or dairy specialty, with cereals, fat free;Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;Yogurt, fermented milk or dairy specialty, w cereals;Yaourt, lait fermenté ou spécialité laitière, aux céréales;
19559;Yogurt, fermented milk or dairy specialty, flavoured, with sweetener, fat free;Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;Yogurt, fermented milk or dairy specialty, flavoured, with sugar;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;
19581;Yogurt, fermented milk or dairy specialty, with fruits, with sweetener, fat free;Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG;Yogurt, fermented milk or dairy specialty, w fruits, with sugar;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;
19582;Yogurt, fermented milk or dairy specialty, with fruits, with sweetener, fat free, fortified with vitamin D;Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D;Yogurt, fermented milk or dairy specialty, w fruits, with sugar;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;
19589;Yogurt, fermented milk or dairy specialty, w fruits, with sugar, with cream;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème;Yogurt, fermented milk or dairy specialty, w fruits, with sugar;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;
19592;Yogurt, fermented milk or dairy specialty, with fruits, with sugar, fortified with vitamin D;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D;Yogurt, fermented milk or dairy specialty, w fruits, with sugar;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;
19693;Soy dessert, plain, refrigerated;Dessert au soja, nature, rayon frais;Soy dessert, plain, refrigerated;Dessert au soja, aux fruits, rayon frais;
19852;Chestnut mousse, refrigerated;Mousse à la crème de marrons, rayon frais;Fruit mousse, refrigerated;Mousse aux fruits, rayon frais;
20246;Baby food jar with vegetables, from 4-6 months;Petit pot légumes, dès 4-6 mois;Vegetables (3-4 types), mashed;Légumes (3-4 sortes en mélange), purée;
20247;Baby food jar with vegetables and starch, from 4-6 months;Petit pot légumes, avec féculent, dès 4/6 mois;Vegetables (3-4 types), mashed;Légumes (3-4 sortes en mélange), purée;
20248;Vegetable dish for baby, with starch, from 6-8 months;Plat légumes, avec féculent, dès 6-8 mois;Vegetable dish for baby, with starch, from 6-8 months;Plat légumes, avec féculent et viande/poisson, dès 6-8 mois;
20249;Vegetable dish for baby, with milk/cream and starch, from 6-8 months;Plat légumes, avec féculent et lait/crème, dès 6-8 mois;Vegetable dish for baby, with milk/cream and starch, from 6-8 months;Plat légumes, avec féculent et viande/poisson, dès 6-8 mois;
20250;Vegetable dish for baby, with milk/cream and starch, from 8-12 months;Plat légumes, avec féculent et lait/crème, dès 8-12 mois;Vegetable dish for baby, with milk/cream and starch, from 8-12 months;Plat légumes, avec féculent et viande/poisson, dès 6-8 mois;
20251;Vegetable dish for baby, with milk/cream and starch, from 12 months;Plat légumes, avec féculent et lait/crème, dès 12 mois;Vegetable dish for baby, with milk/cream and starch, from 12 months;Plat légumes, avec féculent et viande/poisson, dès 6-8 mois;
20252;Soup for baby, with vegetables and potatoes;Soupe pour bébé légumes et pomme de terre;Soup, leek and potato, prepacked, to be reheated;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;
20253;Soup for baby, with vegetables, cereals and milk;Soupe pour bébé légumes, céréales et lait;Soup, mixed vegetables, prepacked, to be reheated;Soupe aux légumes variés, préemballée à réchauffer;
20254;Vegetable dish for baby, with milk/cream and starch, from 18 months;Plat légumes, avec féculent et lait/crème, dès 18 mois;Vegetable dish for baby, with milk/cream and starch, from 18 months;Plat légumes, avec féculent et viande/poisson, dès 6-8 mois;
20262;Vegetables pan-fried without mushrooms, frozen, raw;Poêlée de légumes assaisonnés sans champignon, surgelée, crue;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;
20273;Vegetables pan-fried or stir-fried, Asian-style, frozen, raw;Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;
20498;Vegetables pan-fried with mushrooms (country-style), frozen;"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;
20911;Soy dessert, flavoured, refrigerated;Dessert au soja aromatisé, rayon frais;Soy dessert, w fruits, refrigerated;Dessert au soja, aux fruits, rayon frais;
23005;Chou pastry with praline flavoured creme;Gâteau Paris-Brest (pâte à choux crème mousseline praliné);Profiteroles (chou pastry), with vanilla ice cream and chocolate sauce;profiterole;
23006;Sponge cake w chocolate w or wo cherry;Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises);Savoy-style sponge cake;Biscuit de Savoie;
23420;Puff pastry, raw;Pâte feuilletée, matière grasse végétale, crue;Puff pastry, frozen, raw;Pâte feuilletée, surgelée, crue;
23442;Shortbread dough, cooked;Pâte sablée, cuite;Shortbread dough, raw;Pâte sablée, crue;
23448;Shortbread dough, pure butter, cooked;Pâte sablée pur beurre, cuite;Shortbread dough, pure butter, raw;Pâte sablée pur beurre, crue;
23455;Pastry cream puff;Chou à la crème (chantilly ou pâtissière);Chou pastry filled with whipped cream;chou a la creme chantilly;
23479;Fruit pie with confectioner's custard;Tarte aux fruits et crème pâtissière;Red berries tart;Tarte aux fruits rouges;
23481;Apple pie with custard (flour, eggs, cream, sugar, apple alcohol);Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados);Peer tart with almonds;Tarte aux poires amandine;
23534;Semolina pudding, with raisins and caramel sauce, refrigerated;Gâteau de semoule aux raisins et caramel, rayon frais;Semolina pudding, refrigerated;Semoule au lait, rayon frais;
23589;Fresh cream cheese cake;Gâteau au fromage blanc;Yogurt cake;gateau au yaourt nature (huile);
23803;Basque cake (shortbread), with cherries;Gâteau basque, cerises;Basque cake (shortbread), with custard;gateau basque a la creme patissiere;
23805;Blinis;Blini;Crepe, plain, prepacked, refrigerated;crepe a la farine de froment (huile);
23815;Crepe filled with sugar, prepacked;Crêpe préemballée, fourrée au sucre;Crepe filled with sugar, prepacked;Crêpe, nature, préemballée, rayon température ambiante;
23820;Crepe, filled with jam, home-made;Crêpe maison, fourrée à la confiture;Crepe filled with sugar, prepacked;Crêpe préemballée, fourrée au sucre;
